inventory_id,drug_id,batch_number,stock_quantity,reorder_level,expiry_date,supplier_id
1,566,B2026A002,629,1241,2027/06/13,17
2,376,B2026A003,560,1187,2028/08/28,6
3,572,B2025A004,350,1703,2030/04/13,5
4,72,B2025A004,159,405,2030/02/06,14
5,530,B2025A002,406,709,2027/11/26,18
6,809,B2026A004,208,357,2028/10/15,11
7,600,B2025A002,837,1031,2030/07/11,16
8,67,B2026A003,382,1165,2027/08/26,2
9,832,B2025A002,576,1973,2029/12/11,9
10,236,B2025A004,376,1239,2028/09/09,1
11,785,B2025A004,584,1631,2029/07/07,9
12,841,B2025A004,312,175,2030/01/17,1
13,76,B2026A003,23,955,2030/05/25,5
14,603,B2026A002,91,859,2029/08/29,14
15,488,B2026A003,196,1198,2030/03/16,2
16,456,B2025A005,271,1625,2030/01/12,13
17,269,B2026A001,232,477,2028/02/20,11
18,111,B2026A001,162,1359,2028/12/17,17
19,76,B2025A004,368,383,2030/12/04,17
20,345,B2026A004,895,175,2027/09/22,15
21,345,B2025A004,200,1232,2030/10/20,20
22,690,B2025A001,162,1710,2029/09/05,16
23,108,B2026A001,749,272,2028/02/17,1
24,77,B2025A002,607,989,2028/07/19,8
25,371,B2026A004,335,143,2028/03/25,16
26,341,B2025A002,147,144,2029/10/10,20
27,103,B2025A002,905,1406,2028/07/28,18
28,40,B2025A001,876,1716,2027/04/12,18
29,337,B2026A002,673,1260,2029/12/17,10
30,779,B2025A002,814,1049,2030/11/23,12
31,183,B2025A004,445,1300,2028/05/27,14
32,54,B2025A002,320,730,2027/06/29,19
33,144,B2026A005,123,153,2027/03/03,10
34,818,B2025A004,84,1577,2027/02/10,11
35,15,B2025A002,23,1297,2028/05/10,7
36,918,B2025A005,174,866,2027/07/01,16
37,649,B2025A002,483,876,2027/07/03,8
38,623,B2025A003,196,1973,2027/04/22,9
39,162,B2026A002,83,899,2030/02/13,17
40,338,B2025A005,387,1054,2028/12/27,6
41,438,B2026A002,867,1393,2027/11/13,16
42,186,B2026A002,257,1722,2029/07/16,15
43,947,B2026A001,387,539,2027/10/06,5
44,913,B2026A003,720,1290,2029/05/21,11
45,417,B2025A003,820,1444,2029/10/18,1
46,570,B2025A003,593,316,2027/10/17,18
47,80,B2025A003,486,1907,2027/10/16,13
48,258,B2025A002,540,666,2027/03/08,5
49,60,B2026A002,36,556,2029/02/11,19
50,511,B2026A004,526,1555,2030/12/08,15
51,667,B2025A002,360,1391,2028/06/12,18
52,24,B2026A002,350,1062,2028/06/25,18
53,160,B2026A003,131,695,2030/05/21,1
54,823,B2025A001,387,1249,2029/02/22,9
55,440,B2025A001,217,142,2027/09/13,12
56,268,B2025A005,807,1202,2029/02/17,10
57,573,B2025A001,587,1546,2029/05/19,17
58,95,B2026A005,918,1715,2030/03/14,12
59,704,B2025A005,201,1431,2030/01/11,9
60,401,B2025A004,176,736,2027/11/27,9
61,611,B2025A001,784,1092,2029/06/26,18
