drug_id,drug_name,therapeutic_area,dosage_form,unit_price,manufacturer
1,Pantoprazole,Anti-inflammatory,Capsule,66,Glenmark
2,Metformin,Anticancer,Injection,8,Alkem Laboratories
3,Pregabalin,Anticancer,Ointment,64,Glenmark
4,Paracetamol,Anticancer,Suspension,33,Sun Pharma
5,Acyclovir,Antibiotic,Syrup,86,Mankind Pharm
6,Sertraline,Antibiotic,Injection,25,Cipla
7,Pregabalin,CNS,Ointment,6,Sun Pharma
8,Domperidone,Cardiovascular,Suspension,95,Torrent Pharma
9,Losartan,Cardiovascular,Cream,83,Torrent Pharma
10,Telmisartan,Anti-inflammatory,Suspension,29,Glenmark
11,Sertraline,Antibiotic,Cream,98,Abbott
12,Aceclofenac,Antidiabetic,Tablet,19,Dr Reddy's
13,Atorvastatin,Anticancer,Injection,95,Dr Reddy's
14,Escitalopram,Anticancer,Suspension,24,Sun Pharma
15,Pantoprazole,Analgesic,Injection,90,Sun Pharma
16,Ibuprofen,Antidiabetic,Cream,25,Glenmark
17,Paracetamol,Cardiovascular,Ointment,48,Mankind Pharm
18,Azithromycin,Cardiovascular,Suspension,43,Alkem Laboratories
19,Aceclofenac,Antibiotic,Inhaler,10,Glenmark
20,Rabeprazole,Respiratory,Capsule,80,Mankind Pharm
21,Acyclovir,Antibiotic,Cream,16,Zydus
22,Sertraline,Anticancer,Inhaler,17,Lupin
23,Rabeprazole,Antidiabetic,Suspension,7,Zydus
24,Gabapentin,Anticancer,Suspension,40,Lupin
25,Pregabalin,Anti-inflammatory,Ointment,29,Alkem Laboratories
26,Budesonide,Antidiabetic,Ointment,51,Cipla
27,Sitagliptin,Gastrointestinal,Capsule,28,Glenmark
28,Azithromycin,Antibiotic,Suspension,24,Mankind Pharm
29,Amoxicillin,Antiviral,Capsule,48,Torrent Pharma
30,Gabapentin,Cardiovascular,Syrup,60,Mankind Pharm
31,Budesonide,Gastrointestinal,Ointment,96,Lupin
32,Losartan,Anticancer,Cream,21,Torrent Pharma
33,Sertraline,Respiratory,Ointment,26,Zydus
34,Fluoxetine,CNS,Syrup,87,Alkem Laboratories
35,Salbutamol,Antidiabetic,Cream,4,Sun Pharma
36,Atorvastatin,Antibiotic,Capsule,50,Lupin
37,Cefixime,Antiviral,Syrup,77,Sun Pharma
38,Atorvastatin,Antiviral,Ointment,45,Zydus
39,Gabapentin,CNS,Injection,10,Cipla
40,Acyclovir,CNS,Syrup,95,Abbott
41,Aceclofenac,Anticancer,Capsule,56,Zydus
42,Rosuvastatin,Antibiotic,Suspension,22,Sun Pharma
43,Metformin,Gastrointestinal,Ointment,60,Sun Pharma
44,Budesonide,Anti-inflammatory,Inhaler,11,Lupin
45,Paracetamol,Anticancer,Suspension,16,Alkem Laboratories
46,Amlodipine,Anticancer,Suspension,52,Sun Pharma
47,Doxycycline,CNS,Inhaler,92,Dr Reddy's
48,Diclofenac,Antidiabetic,Inhaler,3,Cipla
49,Pregabalin,Analgesic,Cream,46,Torrent Pharma
50,Gabapentin,Analgesic,Capsule,45,Sun Pharma
51,Pregabalin,Antidiabetic,Capsule,22,Mankind Pharm
52,Salbutamol,Anti-inflammatory,Inhaler,6,Dr Reddy's
53,Gabapentin,Gastrointestinal,Inhaler,22,Lupin
54,Rosuvastatin,Antibiotic,Suspension,63,Mankind Pharm
55,Salbutamol,Antiviral,Cream,49,Mankind Pharm
56,Amoxicillin,Respiratory,Cream,78,Glenmark
57,Diclofenac,Respiratory,Cream,90,Alkem Laboratories
58,Amlodipine,Antibiotic,Cream,91,Sun Pharma
59,Diclofenac,Anti-inflammatory,Capsule,42,Dr Reddy's
60,Sertraline,CNS,Tablet,87,Sun Pharma
61,Aceclofenac,Analgesic,Tablet,19,Glenmark
62,Rabeprazole,Analgesic,Tablet,54,Torrent Pharma
63,Rosuvastatin,Cardiovascular,Cream,44,Mankind Pharm
64,Pregabalin,Cardiovascular,Ointment,54,Zydus
65,Aceclofenac,Antibiotic,Syrup,83,Alkem Laboratories
66,Budesonide,Respiratory,Cream,63,Torrent Pharma
67,Ibuprofen,Anti-inflammatory,Suspension,70,Lupin
68,Azithromycin,Gastrointestinal,Suspension,77,Zydus
69,Metformin,Anticancer,Inhaler,21,Alkem Laboratories
70,Diclofenac,Antibiotic,Capsule,8,Zydus
71,Amoxicillin,Respiratory,Capsule,69,Cipla
72,Telmisartan,Anti-inflammatory,Syrup,52,Zydus
73,Montelukast,Gastrointestinal,Suspension,41,Dr Reddy's
74,Escitalopram,Antidiabetic,Suspension,58,Abbott
75,Losartan,Anticancer,Tablet,35,Alkem Laboratories
76,Aceclofenac,Respiratory,Ointment,65,Abbott
77,Pantoprazole,Analgesic,Ointment,30,Cipla
78,Ibuprofen,Analgesic,Syrup,75,Torrent Pharma
79,Domperidone,Antibiotic,Suspension,30,Mankind Pharm
80,Amoxicillin,Antidiabetic,Cream,6,Cipla
81,Doxycycline,Antibiotic,Syrup,74,Glenmark
82,Fluoxetine,Respiratory,Tablet,62,Sun Pharma
83,Telmisartan,Analgesic,Injection,3,Torrent Pharma
84,Doxycycline,Antiviral,Capsule,31,Lupin
85,Gabapentin,Respiratory,Ointment,68,Torrent Pharma
86,Budesonide,Antibiotic,Capsule,87,Abbott
87,Montelukast,Gastrointestinal,Inhaler,86,Torrent Pharma
88,Metformin,Analgesic,Capsule,52,Glenmark
89,Empagliflozin,Respiratory,Ointment,73,Sun Pharma
90,Empagliflozin,Respiratory,Tablet,48,Abbott
91,Azithromycin,Anticancer,Tablet,2,Glenmark
92,Pantoprazole,Anti-inflammatory,Capsule,39,Sun Pharma
93,Sertraline,CNS,Tablet,12,Sun Pharma
94,Acyclovir,Anti-inflammatory,Cream,34,Dr Reddy's
95,Metformin,Analgesic,Ointment,35,Cipla
96,Gabapentin,Respiratory,Ointment,40,Dr Reddy's
97,Pantoprazole,Cardiovascular,Ointment,3,Lupin
98,Rabeprazole,Anti-inflammatory,Syrup,22,Lupin
99,Gabapentin,Antibiotic,Suspension,24,Dr Reddy's
100,Atorvastatin,Antiviral,Cream,53,Glenmark
101,Atorvastatin,Anti-inflammatory,Syrup,16,Dr Reddy's
102,Metformin,Antiviral,Syrup,99,Alkem Laboratories
103,Rabeprazole,Respiratory,Cream,97,Dr Reddy's
104,Metformin,Anticancer,Ointment,54,Dr Reddy's
105,Diclofenac,Anticancer,Cream,53,Sun Pharma
106,Ibuprofen,Analgesic,Inhaler,39,Torrent Pharma
107,Cefixime,Antibiotic,Tablet,81,Glenmark
108,Gabapentin,Gastrointestinal,Suspension,79,Abbott
109,Aceclofenac,Antidiabetic,Inhaler,40,Mankind Pharm
110,Amoxicillin,Anticancer,Ointment,61,Glenmark
111,Fluoxetine,Anticancer,Inhaler,62,Alkem Laboratories
112,Dapagliflozin,Analgesic,Injection,6,Alkem Laboratories
113,Metformin,Anticancer,Syrup,1,Abbott
114,Rabeprazole,Anticancer,Ointment,17,Sun Pharma
115,Pantoprazole,CNS,Ointment,54,Zydus
116,Telmisartan,Antidiabetic,Ointment,26,Alkem Laboratories
117,Montelukast,Respiratory,Ointment,29,Mankind Pharm
118,Doxycycline,Antibiotic,Syrup,42,Sun Pharma
119,Azithromycin,Anticancer,Ointment,31,Alkem Laboratories
120,Rabeprazole,Cardiovascular,Injection,11,Mankind Pharm
121,Salbutamol,CNS,Injection,61,Mankind Pharm
122,Empagliflozin,Cardiovascular,Injection,78,Torrent Pharma
123,Azithromycin,Antibiotic,Inhaler,92,Cipla
124,Losartan,Anti-inflammatory,Suspension,65,Cipla
125,Diclofenac,Antiviral,Capsule,53,Sun Pharma
126,Fluoxetine,Antiviral,Inhaler,78,Torrent Pharma
127,Montelukast,Gastrointestinal,Tablet,46,Dr Reddy's
128,Paracetamol,Cardiovascular,Syrup,58,Zydus
129,Empagliflozin,Anticancer,Suspension,99,Glenmark
130,Salbutamol,Antiviral,Injection,7,Glenmark
131,Atorvastatin,Anticancer,Inhaler,75,Zydus
132,Dapagliflozin,Respiratory,Cream,24,Alkem Laboratories
133,Sitagliptin,CNS,Cream,81,Zydus
134,Metformin,Respiratory,Suspension,21,Dr Reddy's
135,Amlodipine,Antibiotic,Suspension,71,Abbott
136,Dapagliflozin,Antiviral,Tablet,94,Abbott
137,Cefixime,Analgesic,Inhaler,22,Zydus
138,Losartan,Gastrointestinal,Ointment,2,Mankind Pharm
139,Sertraline,Antiviral,Syrup,75,Torrent Pharma
140,Azithromycin,Anti-inflammatory,Tablet,57,Glenmark
141,Cefixime,Antiviral,Ointment,21,Mankind Pharm
142,Rosuvastatin,Antiviral,Injection,96,Lupin
143,Aceclofenac,Antiviral,Cream,59,Mankind Pharm
144,Pantoprazole,Antiviral,Suspension,41,Cipla
145,Losartan,Antibiotic,Suspension,75,Dr Reddy's
146,Sertraline,Analgesic,Suspension,91,Zydus
147,Ibuprofen,Analgesic,Inhaler,44,Sun Pharma
148,Metformin,Antidiabetic,Tablet,13,Lupin
149,Domperidone,Anticancer,Suspension,14,Sun Pharma
150,Sertraline,Antiviral,Injection,21,Alkem Laboratories
151,Empagliflozin,Anti-inflammatory,Inhaler,36,Mankind Pharm
152,Cefixime,Antiviral,Suspension,6,Cipla
153,Sitagliptin,Anticancer,Ointment,63,Glenmark
154,Atorvastatin,Antiviral,Inhaler,59,Cipla
155,Amlodipine,Cardiovascular,Cream,45,Mankind Pharm
156,Gabapentin,Cardiovascular,Ointment,54,Abbott
157,Glimepiride,Antidiabetic,Injection,42,Mankind Pharm
158,Glimepiride,Cardiovascular,Injection,19,Alkem Laboratories
159,Sertraline,Antibiotic,Ointment,98,Lupin
160,Sertraline,Respiratory,Inhaler,82,Mankind Pharm
161,Amlodipine,Antibiotic,Injection,56,Abbott
162,Diclofenac,Anti-inflammatory,Syrup,48,Torrent Pharma
163,Sitagliptin,Analgesic,Injection,91,Sun Pharma
164,Ibuprofen,Anticancer,Tablet,100,Zydus
165,Aceclofenac,Respiratory,Ointment,12,Dr Reddy's
166,Metformin,Antidiabetic,Inhaler,70,Abbott
167,Azithromycin,Respiratory,Syrup,34,Torrent Pharma
168,Salbutamol,Anticancer,Cream,61,Abbott
169,Metformin,Antidiabetic,Suspension,75,Zydus
170,Metformin,Antidiabetic,Inhaler,48,Abbott
171,Sertraline,Gastrointestinal,Cream,83,Zydus
172,Metformin,Respiratory,Suspension,28,Mankind Pharm
173,Amlodipine,Cardiovascular,Capsule,65,Cipla
174,Acyclovir,Antiviral,Syrup,98,Lupin
175,Montelukast,Antiviral,Injection,40,Glenmark
176,Atorvastatin,Antibiotic,Tablet,57,Lupin
177,Montelukast,Antibiotic,Suspension,9,Zydus
178,Pregabalin,Respiratory,Suspension,15,Abbott
179,Salbutamol,Analgesic,Ointment,63,Zydus
180,Azithromycin,Antibiotic,Cream,10,Torrent Pharma
181,Pregabalin,Antidiabetic,Injection,69,Torrent Pharma
182,Sitagliptin,Antidiabetic,Ointment,35,Torrent Pharma
183,Telmisartan,Gastrointestinal,Cream,9,Torrent Pharma
184,Doxycycline,Antibiotic,Tablet,6,Abbott
185,Metformin,Gastrointestinal,Inhaler,32,Sun Pharma
186,Ibuprofen,Respiratory,Inhaler,10,Glenmark
187,Amlodipine,Anti-inflammatory,Capsule,41,Sun Pharma
188,Atorvastatin,Antibiotic,Inhaler,56,Abbott
189,Metformin,Antidiabetic,Tablet,10,Glenmark
190,Fluoxetine,Respiratory,Suspension,33,Glenmark
191,Budesonide,Antiviral,Syrup,4,Dr Reddy's
192,Losartan,Cardiovascular,Tablet,93,Mankind Pharm
193,Dapagliflozin,Cardiovascular,Capsule,21,Sun Pharma
194,Atorvastatin,Analgesic,Capsule,17,Alkem Laboratories
195,Rosuvastatin,Gastrointestinal,Syrup,63,Zydus
196,Glimepiride,Antibiotic,Suspension,91,Dr Reddy's
197,Amlodipine,Antiviral,Syrup,12,Sun Pharma
198,Paracetamol,Respiratory,Inhaler,64,Lupin
199,Empagliflozin,Antidiabetic,Capsule,64,Alkem Laboratories
200,Dapagliflozin,Antibiotic,Capsule,13,Alkem Laboratories
201,Escitalopram,Antibiotic,Syrup,90,Torrent Pharma
202,Gabapentin,Antibiotic,Syrup,6,Dr Reddy's
203,Acyclovir,CNS,Suspension,15,Abbott
204,Metformin,Antibiotic,Syrup,94,Torrent Pharma
205,Montelukast,Antibiotic,Inhaler,64,Lupin
206,Atorvastatin,Gastrointestinal,Injection,74,Abbott
207,Azithromycin,Antidiabetic,Suspension,46,Abbott
208,Azithromycin,Respiratory,Tablet,46,Glenmark
209,Acyclovir,Gastrointestinal,Capsule,89,Glenmark
210,Glimepiride,Anticancer,Cream,67,Cipla
211,Pantoprazole,Antiviral,Capsule,14,Abbott
212,Metformin,Anti-inflammatory,Cream,1,Glenmark
213,Montelukast,Antiviral,Ointment,33,Torrent Pharma
214,Paracetamol,Anti-inflammatory,Suspension,53,Torrent Pharma
215,Montelukast,Antiviral,Tablet,97,Lupin
216,Amoxicillin,CNS,Capsule,73,Cipla
217,Salbutamol,Anticancer,Cream,86,Cipla
218,Fluoxetine,Antidiabetic,Inhaler,36,Cipla
219,Diclofenac,Anticancer,Cream,68,Torrent Pharma
