sale_id,drug_id,sale_date,region,customer_type,units_sold,discount_percent
1,904,2025/05/13,Central,Government Hospital,2116,10.4
2,228,2026/01/02,East,Retail Pharmacy,1106,17.2
3,191,2025/03/29,North,Distributor,2789,3.0
4,788,2025/12/23,Central,Hospital,642,5.6
5,574,2026/10/19,North,Hospital,2828,21.3
6,133,2025/10/10,South,Retail Pharmacy,3008,7.1
7,923,2025/02/03,Central,Distributor,578,19.4
8,617,2026/09/16,South,Retail Pharmacy,3903,23.3
9,839,2026/11/28,North,Government Hospital,3266,7.2
10,330,2026/07/26,West,Government Hospital,102,15.9
11,878,2025/04/27,North,Distributor,615,15.5
12,765,2026/10/05,Northeast,Clinic,3096,21.5
13,641,2026/03/18,Northeast,Distributor,4301,5.3
14,259,2026/02/13,Central,Government Hospital,3628,18.7
15,980,2025/06/06,East,Clinic,3321,0.1
16,207,2026/10/27,East,Retail Pharmacy,4964,28.0
17,47,2026/10/29,North,Hospital,4003,20.9
18,592,2026/04/21,North,Distributor,1549,6.2
19,692,2025/11/04,West,Hospital,305,11.9
20,154,2026/04/19,West,Government Hospital,2484,9.7
21,293,2026/05/26,Northeast,Hospital,254,3.3
22,146,2026/06/18,West,Government Hospital,3048,23.3
23,778,2026/01/19,North,Retail Pharmacy,1219,21.6
24,777,2025/02/26,North,Distributor,2553,9.8
25,310,2026/11/02,East,Retail Pharmacy,4854,16.0
26,307,2025/04/05,Northeast,Retail Pharmacy,3348,21.1
27,97,2025/04/15,Northeast,Distributor,2493,2.2
28,799,2025/09/09,Central,Hospital,4965,19.2
29,656,2026/11/20,West,Clinic,1031,8.8
30,851,2026/04/02,North,Retail Pharmacy,1251,20.8
31,816,2026/07/25,West,Clinic,3746,20.0
32,497,2025/04/25,East,Retail Pharmacy,2800,14.6
33,17,2026/05/27,West,Retail Pharmacy,3006,11.8
34,794,2025/10/30,West,Government Hospital,1346,8.7
35,291,2025/09/10,East,Distributor,4408,3.0
36,507,2026/03/01,North,Retail Pharmacy,2378,26.8
37,468,2025/03/28,South,Distributor,4707,30.0
38,804,2026/07/28,Central,Retail Pharmacy,934,27.1
39,33,2025/07/16,West,Clinic,1596,9.7
